Time of Visit,IP Address,Request Method,Status Code,Navigation Pages,Country,Sports,Number of Visit,Gender,Age,Cluster
10:34:45,146.154.7.248,HEAD,200,news.html,Ukraine,Table Tennis,Seldon,Male,33,2
19:57:24,49.97.116.238,HEAD,301,searchsports.html,Czech Republic,Baseball,Often,Female,47,0
18:27:55,194.105.252.236,PATCH,301,sechedule.html,Chile,Athletics,Seldon,Non-binary,36,0
17:04:05,35.83.14.252,PUT,200,news.html,Poland,Swimming,Seldon,Female,64,1
23:03:39,74.209.200.162,HEAD,100,ticketing.html,China,Table Tennis,Once,Male,39,2
13:17:23,77.165.12.241,POST,200,images/games.html,Botswana,Table Tennis,Often,Female,32,2
14:30:28,174.53.234.199,PATCH,200,index.html,Philippines,Baseball,Often,Male,21,2
05:15:22,241.91.235.4,HEAD,400,venue information.html,Indonesia,Gymnastics,Daily,Male,23,0
14:19:06,153.61.22.129,PATCH,200,images/games.html,Niger,Football,Never,Non-binary,57,1
05:56:52,255.237.98.248,HEAD,403,images/games.html,China,Swimming,Seldon,Female,62,0
07:43:55,131.252.159.208,POST,301,ticketing.html,Brazil,Boxing,Daily,Non-binary,62,1
00:59:07,72.28.17.91,GET,200,index.html,Macedonia,Swimming,Seldon,Male,51,1
06:06:49,198.61.244.96,POST,200,sechedule.html,China,Weightlifting,Never,Non-binary,31,2
15:37:11,152.5.179.250,PUT,200,searchsports.html,Poland,Basketball,Once,Male,58,1
20:00:49,199.59.242.109,PATCH,200,venue information.html,Poland,Football,Seldon,Male,28,2
08:14:53,214.16.64.79,HEAD,301,index.html,China,Athletics,Seldon,Male,67,1
13:21:24,241.109.170.127,CONNECT,200,images/games.html,Peru,Volleyball,Often,Female,28,2
08:29:41,87.142.129.208,POST,200,venue information.html,Iceland,Baseball,Once,Male,48,1
10:33:16,123.37.241.198,POST,200,ticketing.html,Sweden,Swimming,Once,Female,23,2
13:17:12,177.75.122.35,HEAD,200,sechedule.html,Peru,Table Tennis,Seldon,Male,19,2
15:56:42,40.193.135.23,HEAD,200,index.html,Indonesia,Athletics,Once,Male,22,2
12:16:55,214.38.250.31,GET,200,sponsorship.html,Poland,Athletics,Often,Non-binary,27,2
07:05:04,71.63.124.102,PATCH,200,venue information.html,Czech Republic,Athletics,Often,Male,20,2
16:26:24,95.67.103.153,CONNECT,200,images/games.html,China,Athletics,Seldon,Male,33,2
21:46:39,10.70.18.53,HEAD,200,images/games.html,Japan,Swimming,Often,Non-binary,26,2
13:20:28,197.241.162.105,PUT,100,ticketing.html,United States,Diving,Seldon,Female,68,1
21:36:43,89.40.188.180,GET,200,index.html,Gambia,Football,Daily,Non-binary,19,2
23:56:45,208.59.155.81,GET,200,sechedule.html,Brazil,Table Tennis,Never,Male,60,1
13:39:06,153.61.56.186,CONNECT,403,images/games.html,Ukraine,Football,Once,Male,31,0
21:23:03,164.199.93.188,CONNECT,200,images/games.html,Philippines,Wrestling,Seldon,Female,48,1
22:41:46,183.49.164.26,PATCH,400,venue information.html,Portugal,Gymnastics,Daily,Male,58,0
10:23:34,211.190.96.241,GET,200,images/games.html,Peru,Volleyball,Daily,Male,49,1
18:41:53,138.116.56.196,PATCH,100,index.html,China,Badminton,Seldon,Non-binary,40,2
20:07:22,4.164.33.140,GET,100,sechedule.html,Russia,Table Tennis,Daily,Male,68,1
06:43:18,121.100.213.246,PATCH,200,index.html,Morocco,Athletics,Seldon,Male,57,1
15:35:58,7.84.224.122,HEAD,200,index.html,South Korea,Athletics,Seldon,Non-binary,31,2
20:31:36,183.6.136.13,GET,200,index.html,Poland,Swimming,Often,Male,42,2
23:54:52,255.116.70.160,GET,200,images/games.html,China,Gymnastics,Seldon,Male,48,1
16:15:18,66.163.170.76,GET,400,news.html,Japan,Swimming,Often,Male,64,0
16:45:41,76.191.227.26,PATCH,200,sechedule.html,Israel,Badminton,Often,Non-binary,26,2
07:48:41,234.244.79.37,PUT,301,ticketing.html,Indonesia,Weightlifting,Seldon,Female,29,0
22:40:31,185.80.50.169,GET,200,index.html,Sweden,Table Tennis,Often,Female,69,1
17:20:21,70.180.123.161,PATCH,200,index.html,Brazil,Football,Daily,Female,19,2
23:06:24,123.67.73.194,GET,200,searchsports.html,Thailand,Basketball,Never,Female,69,1
08:10:03,22.139.72.50,GET,400,index.html,Brazil,Basketball,Once,Male,18,0
04:37:06,242.131.25.223,PATCH,500,ticketing.html,Poland,Fencing,Seldon,Non-binary,31,0
07:06:28,219.165.164.28,GET,400,sechedule.html,Armenia,Table Tennis,Seldon,Male,49,0
22:28:02,210.211.5.242,PUT,301,index.html,Indonesia,Swimming,Daily,Male,42,0
18:38:49,202.220.80.108,GET,200,images/games.html,Greece,Swimming,Never,Female,60,1
16:52:52,62.192.194.249,HEAD,200,searchsports.html,Iran,Weightlifting,Seldon,Male,55,1
03:50:18,61.139.104.10,HEAD,301,searchsports.html,Afghanistan,Volleyball,Never,Female,59,1
17:44:50,103.180.29.59,HEAD,200,searchsports.html,Vietnam,Football,Often,Female,24,2
06:48:18,128.39.225.237,GET,403,searchsports.html,Indonesia,Baseball,Once,Female,59,0
09:14:10,31.182.77.109,CONNECT,301,index.html,Indonesia,Football,Seldon,Male,67,1
01:39:34,175.114.123.44,CONNECT,200,sechedule.html,Sweden,Athletics,Daily,Female,24,2
01:42:35,183.134.154.222,GET,200,images/games.html,Croatia,Weightlifting,Often,Male,34,2
02:11:46,69.75.152.45,HEAD,200,venue information.html,Portugal,Badminton,Seldon,Female,36,2
22:16:47,153.40.11.230,POST,200,index.html,China,Athletics,Seldon,Male,46,1
18:44:24,69.155.137.114,PATCH,301,venue information.html,Philippines,Badminton,Daily,Male,52,0
18:23:14,95.27.109.43,CONNECT,200,sechedule.html,Malaysia,Volleyball,Daily,Male,47,1
03:50:37,45.213.47.20,GET,200,sechedule.html,France,Football,Seldon,Non-binary,26,2
04:37:53,253.253.164.137,PATCH,200,sechedule.html,Egypt,Basketball,Often,Female,31,2
05:02:48,139.4.63.0,GET,100,index.html,Japan,Basketball,Once,Female,49,1
07:33:29,114.128.18.48,PUT,200,images/games.html,Thailand,Basketball,Once,Male,41,2
21:29:33,232.119.11.145,PATCH,200,images/games.html,Russia,Basketball,Often,Female,36,2
17:55:57,91.194.147.254,POST,200,sechedule.html,China,Weightlifting,Seldon,Male,20,2
13:13:58,158.163.7.99,CONNECT,301,venue information.html,Portugal,Badminton,Seldon,Male,50,0
18:53:45,12.228.225.80,HEAD,200,venue information.html,France,Table Tennis,Once,Female,28,2
19:26:57,90.22.151.219,PATCH,100,sechedule.html,China,Boxing,Never,Non-binary,30,2
22:42:06,175.158.125.173,GET,100,searchsports.html,China,Basketball,Often,Male,19,2
19:23:48,27.103.40.237,POST,200,index.html,China,Swimming,Often,Male,22,2
04:42:16,137.141.18.224,HEAD,200,index.html,Indonesia,Wrestling,Seldon,Female,40,2
00:17:07,103.234.129.11,GET,301,venue information.html,Brazil,Table Tennis,Once,Female,26,0
15:52:02,165.236.182.106,HEAD,200,images/games.html,Armenia,Volleyball,Seldon,Male,33,2
19:57:46,254.91.204.119,GET,200,ticketing.html,China,Gymnastics,Seldon,Male,54,1
21:49:50,224.210.185.143,CONNECT,200,index.html,Indonesia,Athletics,Once,Non-binary,20,2
17:02:34,225.19.246.20,PATCH,200,sechedule.html,Ukraine,Badminton,Seldon,Male,54,1
07:28:45,107.21.137.112,GET,200,ticketing.html,China,Athletics,Daily,Female,19,2
13:25:40,187.8.44.67,CONNECT,200,images/games.html,Thailand,Gymnastics,Once,Female,54,1
05:20:54,126.216.101.161,GET,200,venue information.html,Poland,Football,Never,Male,37,2
20:41:14,203.34.220.177,GET,301,sechedule.html,Thailand,Wrestling,Daily,Male,45,0
03:36:12,15.233.46.5,POST,301,index.html,Yemen,Swimming,Daily,Male,40,0
09:36:18,115.95.81.201,PATCH,100,sponsorship.html,Russia,Swimming,Seldon,Female,63,1
01:06:29,100.18.138.58,PATCH,200,ticketing.html,Russia,Swimming,Seldon,Male,37,2
05:26:10,55.234.20.249,POST,200,news.html,Russia,Swimming,Seldon,Female,49,1
08:04:41,228.143.0.88,PUT,100,searchsports.html,China,Badminton,Once,Female,36,2
